Suelos Forestales;Provincia;Parcela;pH;CE (dSm^-1);Factor humedad;FHR_final;CIC (Meq/100g);Presencia  Carbonatos (%);Ca Final (meq/100g);Ca Final (mg/kg);Mg Final (meq/100g);Mg Final (mg/kg);k Final Calibrados (meq/100g);k Final (mg/kg);Na Final Calibrados (meq/100g);Na Final (mg/kg);RAS;CTC (Meq/100g);CIC (Meq/100g);Mn (mg/kg suelo);Zn (mg/kg);Cu Final (mg/kg);Fe Final (mg/kg);P corregido fH;%C;%MO;%Arcilla;%Limo;%Arena;(N) %;(C) %
24;Lugo;272894;3,73;0,121;0,952;5,008;54,124;N;1,77;353,43;4,64;564,24;0,28;107,98;1,84;422,76;1,03;8,53;54,12;15,96;4,55;2,02;442,71;56,65;7,73;13,29;2,67;15,49;81,84;0,338;10,816
45;Ourense;320575;4,83;0,0801;0,976;2,484;26,335;N;2,99;597,85;1,78;216,58;0,39;153,53;1,01;232,34;0,65;6,17;26,33;113,96;1,87;3,12;155,78;55,87;2,86;4,91;4,01;20,76;75,22;0,236;4,573
51;Ourense;320575;5,09;0,0618;0,979;2,169;26,163;N;2,99;598,73;2,03;247,25;0,32;125,86;3,00;690,18;1,89;8,35;26,16;96,86;1,29;3,92;150,72;32,81;3,23;5,55;4,37;25,35;70,28;0,201;3,423
25;Ourense;320580;5,24;0,0413;0,979;7,850;21,480;N;2,82;564,83;2,12;258,19;0,22;87,48;0,83;191,38;0,53;6,00;21,48;56,24;0,18;2,29;74,72;3,59;2,52;4,33;3,22;31,35;65,44;0,211;2,476
49;Ourense;320580;5,9;0,0418;0,933;7,180;22,241;N;2,84;567,38;2,40;292,19;0,21;81,67;1,42;327,43;0,88;6,87;22,24;70,49;0,37;3,09;92,93;25,73;3,44;5,91;3,15;28,80;68,05;0,298;3,996
27;Ourense;320602;4,93;0,0327;0,936;6,890;20,227;N;0,97;194,11;0,79;95,49;0,22;84,81;1,17;268,27;1,25;3,14;20,23;27,72;0,46;1,88;98,86;19,92;3,13;5,38;1,74;13,38;84,88;0,186;3,677
46;Ourense;320602;4,9;0,0276;0,939;6,510;4,350;N;1,02;204,05;1,00;121,43;0,20;77,84;1,28;293,16;1,27;3,49;4,35;23,37;0,26;2,73;86,06;22,86;2,54;4,36;3,71;11,94;84,35;0,225;4,184
42;Sevilla;410143;5,48;0,035;0,980;2,010;21,509;N;2,49;497,39;1,50;182,27;0,50;194,36;1,79;410,70;1,27;6,27;21,51;31,00;0,08;2,61;34,28;7,66;1,54;2,64;3,81;30,08;66,11;0,127;2,149
53;Sevilla;410143;5,3;0,028;0,977;2,310;23,523;N;2,98;596,12;1,50;182,79;0,43;167,68;1,79;411,87;1,20;6,71;23,52;21,90;0,05;2,95;27,99;10,86;1,99;3,42;3,80;26,51;69,70;0,121;2,245
17;Sevilla;410162;6,75;0,0772;0,976;2,492;23,355;N;7,20;1440,53;2,83;344,37;0,27;103,79;0,92;211,13;0,41;11,22;23,36;105,77;0,36;6,56;20,83;3,33;1,46;2,51;6,41;23,17;70,42;0,121;1,640
