Code,Code3,Code2,Nombre,Nombre1,Tipo,Family,Arborea_matorral,Source,Reference,ISSG,DAISIE
007,7,007,Acacia spp.,Acacia spp.,O,Leguminosae,Arborea,Flora Europaea,Gard. Dict. abr. ed. 4 (1754),E,DAISIE
071,71,071,Fagus sylvatica,Fagus sylvatica,D,Fagaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 998 (1753),NA,A
072,72,072,Castanea sativa,Castanea sativa,D,Fagaceae,Arborea,Flora Europaea,Gard. Dict. ed. 8 no. 1 (1768),NR,DAISIE
073,73,073,Betula spp.,Betula spp.,D,Betulaceae,Arborea,Flora Europaea,NA,NR,A
074,74,074,Corylus avellana,Corylus avellana,D,Betulaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 998 (1753),NR,A
075,75,075,Juglans regia,Juglans regia,D,Juglandaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 997 (1753),NR,DAISIE
057,757,057,Salix elaeagnos,Salix elaeagnos,D,Salicaceae,Arborea,Flora Europaea,Fl. Carn. ed. 2 2: 257 (1772),NR,A
076,76,076,Acer campestre,Acer campestre,D,Aceraceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 1055 (1753),NR,A
077,77,077,Tilia spp.,Tilia spp.,D,Tiliaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 514 (1753),NR,A
078,78,078,Sorbus spp.,Sorbus spp.,D,Rosaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 477 (1753),NR,A
079,79,079,Platanus hispanica,Platanus hispanica,D,Platanaceae,Arborea,IPNI,NA,NR,DAISIE
008,8,008,Phillyrea latifolia,Phillyrea latifolia,E,Oleaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 8 (1753),NR,A
091,91,091,Buxus sempervirens,Buxus sempervirens,E,Buxaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 983 (1753),NR,A
092,92,092,Robinia pseudacacia,Robinia pseudacacia,D,Leguminosae,Arborea,Flora Europaea,Sp. Pl. ed. 1 722 (1753),NR,DAISIE
094,94,094,Laurus nobilis,Laurus nobilis,L,Lauraceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 369 (1753),NR,A
095,95,095,Prunus spp.,Prunus spp.,D,Rosaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 473 (1753),NR,A
097,97,097,Sambucus nigra,Sambucus nigra,D,Caprifoliaceae,Arborea,Flora Europaea,Sp. Pl. ed. 1 269 (1753),NR,A
099,99,099,Otras frondosas,Otras frondosas,D,SF,NoSpp,NA,NA,NA,NA
